date,CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
2004-03-10 18:00:00,2.6,1360.0,11.8817234886803,1045.5,166.0,1056.25,113.0,1692.0,1267.5,13.599999904633,48.875000953674,0.757753825129361
2004-03-10 19:00:00,2.0,1292.25,9.3971648895816,954.75,103.0,1173.75,92.0,1558.75,972.25,13.299999952316,47.699999809265,0.725487449242467
2004-03-10 20:00:00,2.2,1402.0,8.9978168713268,939.25,131.0,1140.0,114.0,1554.5,1074.0,11.900000095367,53.97500038147,0.750239067398195
2004-03-10 21:00:00,2.2,1375.5,9.22879642140727,948.25,172.0,1092.0,122.0,1583.75,1203.25,11.0,60.0,0.786712533085925
2004-03-10 22:00:00,1.6,1272.25,6.51822366907414,835.5,131.0,1205.0,116.0,1490.0,1110.0,11.150000095367,59.575000762939,0.788794231866759
2004-03-10 23:00:00,1.2,1197.0,4.74101236247875,750.25,89.0,1336.5,96.0,1393.0,949.25,11.175000190735,59.175000190735,0.784771664339745
2004-03-11 00:00:00,1.2,1185.0,3.62439918979752,689.5,62.0,1461.75,77.0,1332.75,732.5,11.324999809265,56.77499961853,0.760311939284329
2004-03-11 01:00:00,1.0,1136.25,3.3266769916608,672.0,62.0,1453.25,76.0,1332.75,729.5,10.674999952316,60.0,0.770238457823045
2004-03-11 02:00:00,0.9,1094.0,2.33941619508671,608.5,45.0,1579.0,60.0,1276.0,619.5,10.650000095367,59.674999237061,0.76481872568612
2004-03-11 03:00:00,0.6,1009.75,1.69665825765132,560.75,246.881251619591,1705.0,113.075515230071,1234.75,501.25,10.250000238419,60.200000762939,0.75165716483069
2004-03-11 04:00:00,2.15274954391452,1011.0,1.2936197573721,526.75,21.0,1817.5,34.0,1196.75,445.25,10.075000047684,60.474999427795,0.746494516129247
2004-03-11 05:00:00,0.7,1066.0,1.13343057118786,512.0,16.0,1918.0,28.0,1182.0,421.75,10.999999761581,56.175000190735,0.73655960018064
2004-03-11 06:00:00,0.7,1051.75,1.60376787972881,553.25,34.0,1738.25,48.0,1221.25,471.5,10.450000047684,58.125,0.735295083024728
2004-03-11 07:00:00,1.1,1144.0,3.24361814731007,667.0,98.0,1489.75,82.0,1339.0,729.75,10.200000047684,59.599999427795,0.741736162856328
2004-03-11 08:00:00,2.0,1333.25,8.01377298709062,899.75,174.0,1136.0,112.0,1517.0,1101.5,10.75,57.425000190735,0.740794575739977
2004-03-11 09:00:00,2.2,1351.0,9.54064292532022,960.25,129.0,1079.0,101.0,1582.75,1027.75,10.5,60.599998474121,0.769110792757908
2004-03-11 10:00:00,1.7,1233.25,6.33578243722282,827.25,112.0,1218.0,98.0,1445.75,859.75,10.799999952316,58.35000038147,0.75518308265229
2004-03-11 11:00:00,1.5,1178.75,4.97158376146257,762.0,95.0,1327.5,92.0,1361.75,670.5,10.499999761581,57.925000190735,0.735160779631515
2004-03-11 12:00:00,1.6,1236.0,5.21691899988497,774.25,104.0,1301.25,95.0,1401.25,664.0,9.5249998569489,66.774998664856,0.795053788514204
2004-03-11 13:00:00,1.9,1285.5,7.26993335753569,868.5,146.0,1162.25,112.0,1536.75,799.0,8.299999833107,76.425001144409,0.839268067750277
2004-03-11 14:00:00,2.9,1371.0,11.5390072135637,1033.5,207.0,983.25,128.0,1730.25,1036.5,8.0,81.14999961853,0.873588533618543
2004-03-11 15:00:00,2.2,1310.0,8.82622272645721,932.5,184.0,1081.75,126.0,1646.5,946.25,8.325000166893,79.799999237061,0.877784445098045
2004-03-11 16:00:00,2.2,1291.75,8.30141341676182,911.5,193.0,1102.5,131.0,1590.75,956.75,9.7000000476837,71.150001525879,0.856938127943632
