date,open,high,low,close,Volume BTC,Volume USD
2018/5/15 6:00,8733.86,8796.68,8707.28,8740.99,4906603.14,559.93
2018/5/15 7:00,8740.99,8766,8721.11,8739,2390398.89,273.58
2018/5/15 8:00,8739,8750.27,8660.53,8728.49,7986062.84,917.79
2018/5/15 9:00,8728.49,8754.4,8701.35,8708.32,1593991.98,182.62
2018/5/15 10:00,8708.32,8865,8695.11,8795.9,11101273.74,1260.69
2018/5/15 11:00,8795.9,8821.19,8740.54,8760,2842987.3,324.11
2018/5/15 12:00,8760,8798.6,8741.52,8760,2842401.44,324.2
2018/5/15 13:00,8760,8771.02,8700,8759.23,6380081.87,730.67
2018/5/15 14:00,8759.23,8761.7,8467.42,8517.77,11484106.74,1341.75
2018/5/15 15:00,8517.77,8553.67,8477.89,8520.3,6747071.92,792.07
2018/5/15 16:00,8520.3,8589.1,8500.78,8535.23,3298228.22,385.69
2018/5/15 17:00,8535.23,8579.48,8500,8546.34,4058869.11,475.08
2018/5/15 18:00,8546.34,8555.51,8400,8526.65,7443239.63,877.26
2018/5/15 19:00,8526.65,8583.6,8451.05,8555.6,5703980.92,670.49
2018/5/15 20:00,8555.6,8569.92,8461.38,8512.1,5192991.59,610.97
2018/5/15 21:00,8512.1,8555.54,8481.24,8492.28,1440288.06,168.99
2018/5/15 22:00,8492.28,8557.51,8420.37,8460,2591379.77,305.92
2018/5/15 23:00,8460,8505,8450,8474.99,1152835.45,136.05
2018/5/16 0:00,8474.99,8505.33,8430.94,8455.92,1306049.94,154.26
2018/5/16 1:00,8455.92,8478.29,8275.02,8326.28,8931481.69,1070.93
2018/5/16 2:00,8326.28,8339.81,8100.01,8133.43,13978603.77,1710.2
2018/5/16 3:00,8133.43,8217.44,8122.56,8164.79,4028910.03,492.8
2018/5/16 4:00,8164.79,8252.72,8157.01,8229.38,5179471.34,630.72
2018/5/16 5:00,8229.38,8248.63,8166.25,8220.4,5090356.15,620.93
2018/5/16 6:00,8220.4,8267.12,8176.91,8238.8,4822260.46,586.34
2018/5/16 7:00,8238.8,8255,8213.79,8232.99,2507070.05,304.52
2018/5/16 8:00,8232.99,8261.24,8200,8207.48,3710007.82,450.97
2018/5/16 9:00,8207.48,8263.93,8207.48,8243.45,1501103.9,182.36
2018/5/16 10:00,8243.45,8455.66,8237.1,8371.13,7667494.3,915.32
2018/5/16 11:00,8371.13,8439.44,8370,8373,2680259.87,319.29
2018/5/16 12:00,8373,8399.1,8356.4,8365.08,3031532.02,362.01
2018/5/16 13:00,8365.08,8381.73,8145.1,8179.99,8614269.8,1046.38
2018/5/16 14:00,8179.99,8229.91,8173.6,8225,2936522.28,357.91
2018/5/16 15:00,8225,8377.29,8211.8,8285.8,4663319.71,561.2
2018/5/16 16:00,8285.8,8329.1,8201,8273.4,2665411.47,322.53
2018/5/16 17:00,8273.4,8350,8250.9,8297.4,8926209.14,1073.71
2018/5/16 18:00,8297.4,8346.95,8266.46,8279.89,1973143.22,237.21
2018/5/16 19:00,8279.89,8377.29,8252.72,8252.72,2086318.5,251.2
2018/5/16 20:00,8252.72,8311.35,8232.14,8302.18,2971208.9,359.73
2018/5/16 21:00,8302.18,8319.96,8268.37,8295.85,972462.5,117.23
2018/5/16 22:00,8295.85,8398.24,8277.25,8277.25,3030639.92,363.17
2018/5/16 23:00,8277.25,8372.58,8277.25,8346.59,1784063.07,214.18
2018/5/17 0:00,8346.59,8399.99,8314.78,8358.3,1436126.5,171.64
2018/5/17 1:00,8358.3,8386.53,8314.77,8375.1,2160023.63,258.58
2018/5/17 2:00,8375.1,8400,8350.07,8368.62,2509694.55,299.52
2018/5/17 3:00,8368.62,8500,8331.39,8366.72,6048203.82,718.98
2018/5/17 4:00,8366.72,8381,8314.77,8314.77,1000211.56,119.7
2018/5/17 5:00,8314.77,8371.3,8275.45,8363.7,3379135.19,405.25
2018/5/17 6:00,8363.7,8382.41,8335.49,8344.16,1761990.38,210.77
2018/5/17 7:00,8344.16,8351,8191.14,8247.4,5919821.52,714.82
2018/5/17 8:00,8247.4,8292.99,8227.7,8277.4,1784788.58,215.97
2018/5/17 9:00,8277.4,8325.8,8264.13,8291.67,1361911.38,164.2
2018/5/17 10:00,8291.67,8318.99,8249.93,8307.89,1670966.85,201.55
2018/5/17 11:00,8307.89,8324.9,8269.52,8298.9,1687381.64,203.41
2018/5/17 12:00,8298.9,8335.56,8219.44,8269.47,7337732.27,886.82
2018/5/17 13:00,8269.47,8309.4,8262.68,8300.98,791422.26,95.49
2018/5/17 14:00,8300.98,8377.29,8286.65,8318.49,4160031.45,499.67
2018/5/17 15:00,8318.49,8330.41,8289.87,8306.39,1435667.85,172.77
2018/5/17 16:00,8306.39,8328.23,8232.14,8276.43,2938421.81,355.39
2018/5/17 17:00,8276.43,8284.36,8232.14,8257.69,2107306.11,255.27
2018/5/17 18:00,8257.69,8274.83,8110.02,8166,4838784.03,591.06
2018/5/17 19:00,8166,8200,8154.95,8176.33,1087904.55,133.1
2018/5/17 20:00,8176.33,8232.14,8168.6,8200.7,1224651.09,149.13
2018/5/17 21:00,8200.7,8213.97,8151,8155.41,716047.78,87.55
2018/5/17 22:00,8155.41,8155.41,7980,8080,8543296.28,1061.54
2018/5/17 23:00,8080,8108.28,8005.95,8067.03,2309375.48,286.94
2018/5/18 0:00,8067.03,8068.92,7929.53,7958.08,4185614.12,524.42
2018/5/18 1:00,7958.08,8019.9,7931.03,7974.25,2522629.74,316
2018/5/18 2:00,7974.25,8026.66,7950,7998.5,3524532.06,441.43
2018/5/18 3:00,7998.5,8025,7980.58,7991.99,1517993.24,189.7
2018/5/18 4:00,7991.99,8104.69,7991.99,8022.7,6811160.37,844.94
2018/5/18 5:00,8022.7,8061.39,7992.75,8042.97,1246845.51,155.34
2018/5/18 6:00,8042.97,8045.99,7953.4,7965.67,2062118.35,257.56
2018/5/18 7:00,7965.67,8170.71,7965.67,8088.95,4941942.99,610.69
2018/5/18 8:00,8088.95,8144.16,8085.94,8122.19,1767882.94,217.97
2018/5/18 9:00,8122.19,8139.99,8078.48,8107.99,1405941.08,173.18
2018/5/18 10:00,8107.99,8152.99,8092.9,8137.73,1771767.46,218.06
2018/5/18 11:00,8137.73,8137.73,8049.22,8115,3021026.92,372.97
2018/5/18 12:00,8115,8143.72,8079.46,8107,3924699.93,484.39
2018/5/18 13:00,8107,8129.99,8062.12,8094.4,2008972.2,248.1
2018/5/18 14:00,8094.4,8106.76,8043.96,8080.01,1310624.66,162.35
2018/5/18 15:00,8080.01,8139,8063.1,8117.09,2459563.84,303.42
2018/5/18 16:00,8117.09,8152.04,8088.46,8126.99,2360327.48,290.69
2018/5/18 17:00,8126.99,8146.99,8094.43,8110.95,1306938.69,160.93
2018/5/18 18:00,8110.95,8232.14,8088.46,8215.39,3023216.23,369.4
2018/5/18 19:00,8215.39,8275.1,8191.14,8231.42,4017082,487.27
2018/5/18 20:00,8231.42,8256.12,8212,8240.13,768496.36,93.35
2018/5/18 21:00,8240.13,8274.1,8224.5,8235,797452.91,96.68
2018/5/18 22:00,8235,8255.8,8211,8219.9,593782.25,72.14
2018/5/18 23:00,8219.9,8253.97,8211.01,8248.87,742888.31,90.22
2018/5/19 0:00,8248.87,8261.09,8210.03,8213.5,1388410,168.52
2018/5/19 1:00,8213.5,8235.76,8158.27,8200.99,1664187.39,203.15
2018/5/19 2:00,8200.99,8227,8177.65,8200,585639.94,71.42
2018/5/19 3:00,8200,8273.36,8179.41,8237.3,3827494.71,464.56
2018/5/19 4:00,8237.3,8264.21,8221.92,8228.13,469757.14,57
2018/5/19 5:00,8228.13,8250,8217.32,8240.83,735602.44,89.42
