date,CHSI2__0,NASI2__0,EADM7__0,SCLM7__0,CLKM7__0,VALI2__0,NAPM7__0,DLDI4__0
0,288,3.41,276,194,63.8,8.78,166,59.5
1,287,3.4,275,194,64.1,8.81,165,59.4
2,288,3.39,274,193,63.4,8.88,165,59.4
3,287,3.39,273,193,64,8.7,164,57.9
4,287,3.34,273,193,64,8.78,165,57.9
5,287,3.36,270,192,63.8,8.74,164,57.1
6,286,3.35,270,192,64,8.53,164,57.1
7,286,3.34,269,192,63.9,8.49,164,57
8,285,3.35,268,192,63.9,8.46,164,57
9,283,3.34,268,191,64,8.49,164,56.7
10,284,3.34,267,191,63.8,8.53,164,56.7
11,284,3.36,266,191,63.8,8.6,163,56.4
12,284,3.35,265,191,63.5,8.46,163,56.4
13,284,3.34,264,191,63.3,8.53,162,56.2
14,283,3.35,265,191,63.3,8.56,162,56.2
15,283,3.36,264,190,63.3,8.42,162,55.8
16,284,3.37,264,190,63.4,8.46,162,55.8
17,283,3.36,264,189,63.1,8.18,162,56.8
18,279,3.37,264,189,62.1,8.07,161,56.8
19,278,3.36,263,189,62.6,8.04,161,56.5
20,279,3.36,264,188,61.9,8.04,161,56.5
21,277,3.37,263,188,61.7,8,160,56.8
22,278,3.36,263,188,61.4,8,160,56.8
23,278,3.35,263,188,61.4,8,160,56.4
24,276,3.35,262,188,61.2,8.11,160,56.4
25,274,3.35,261,187,61.2,8.07,160,55.9
26,274,3.36,262,187,61.2,8.18,159,55.9
27,274,3.34,261,187,61.3,8.18,159,55.5
28,274,3.35,261,187,61.1,8.21,160,55.5
29,273,3.31,261,187,61.1,8.28,159,55.4
30,274,3.35,261,186,61.1,8.28,159,55.4
31,273,3.31,261,186,61.1,8.25,159,55.1
32,272,3.34,261,186,61.2,8.25,159,55.1
33,271,3.35,260,186,61.1,8.14,159,54.5
34,270,3.36,260,186,61.3,8.18,159,54.5
35,271,3.34,259,186,61.2,8.25,159,54.9
36,270,3.36,259,186,61.2,8.04,158,54.9
37,272,3.33,259,186,61.2,8.18,158,55
38,272,3.34,258,186,61.2,8.14,158,55
39,272,3.36,259,186,61.2,8.07,158,54.9
40,269,3.36,258,186,61.2,8.07,158,54.9
41,271,3.36,257,186,61,8.07,157,54.9
42,271,3.35,257,185,61.3,8,157,54.9
43,271,3.35,258,186,61.3,8.14,157,54.8
44,268,3.34,258,186,61.4,8.18,157,54.8
45,269,3.35,257,186,60.9,8.04,157,54.9
46,267,3.34,258,186,61.1,8.04,157,54.9
47,268,3.34,257,186,61.2,8.07,157,55.1
48,269,3.33,257,186,61.2,8.07,157,55.1
49,269,3.32,257,185,61.1,8.04,157,55.2
50,268,3.32,257,186,61.3,8.14,156,55.2
